File,Channel,Nuclei,x,y,z,Value,FWHM,Label
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,4,131,560,19,26.9832386354346,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,4,179,546,26,22.2555264682605,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,4,169,528,21,6.89280382066863,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,4,161,550,21,6.3713869011217,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,4,165,530,19,5.75491193687412,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,742,596,24,51.2642179937502,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,713,617,19,27.0358374169373,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,709,553,21,7.44748373749007,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,693,571,22,6.28354162372034,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,711,601,20,6.1674954812197,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,739,572,23,5.69571622924377,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,698,567,23,5.18720066447804,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,738,579,22,5.0527065488177,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,5,707,558,18,5.01207043289469,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,7,111,898,22,9.69566104556634,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,7,160,862,24,6.59875329334682,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,7,125,875,20,5.17957486054274,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,a594,7,134,893,28,5.08321389015327,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,539,45,21,12.6036676388076,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,510,66,24,8.36515941740618,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,540,75,18,7.66061850442566,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,545,77,23,7.34069940983227,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,474,57,17,5.38528884368316,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,502,91,18,5.36317756564313,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,492,85,18,5.26636249759849,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,1,519,84,25,5.04315714911718,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,2,78,300,19,5.23791491238535,-2,1
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,614,325,25,17.5682555020667,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,621,332,26,7.37144619746141,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,615,340,28,6.95310386307392,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,611,322,21,5.74566047255212,-2,2
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,618,316,18,5.67933616917981,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,621,313,18,5.61727790792611,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,3,577,312,17,5.50784225738425,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,5,740,596,24,5.77345970534861,-2,0
/data/current_images/iXL/iXL213_20171005_00X_calc/002.NM,tmr,7,128,892,41,5.76566314072716,-2,0
